,Th1,Ts1,u1,R
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,-0.12899999999999778
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,-7.555976309119955e-06,-7.555976309119955e-06,0.009,3.2764768960006814e-07
14,4.687212884047658e-05,4.687212884047658e-05,0.017,-4.969882479447872e-07
15,0.00014803709432194712,0.00014803709432194712,0.032,-4.775462286533021e-06
16,0.0003488959465393879,0.0003488959465393879,0.049,-1.5454018798303234e-05
17,0.0006179142532782549,0.0006179142532782549,0.076,-3.7166130762753364e-05
18,0.0010527185808442599,0.0010527185808442599,0.412,-7.292084284211241e-05
19,0.003669237702246754,0.003669237702246754,0.748,-0.0001679697093568716
20,0.008220545223751458,0.008220545223751458,1.189,-0.00042904486635895024
21,0.01618086264387609,0.01618086264387609,1.66,-0.0009626109496406123
22,0.025555631910737307,0.025555631910737307,2.622,-0.0018803638493173785
23,0.039591050225860486,0.039591050225860486,4.156,-0.0032995441379226305
24,0.06276850017456158,0.06276850017456158,5.69,-0.005471353290385966
25,0.09425158998089997,0.09425158998089997,7.012,-0.008861630411400619
26,0.1331673909910876,0.1331673909910876,8.289,-0.01372310374036093
27,0.17818112218117887,0.17818112218117887,10.121,-0.02021868088884478
28,0.23619792549828977,0.23619792549828977,12.61,-0.028824292321577346
29,0.30467186256691436,0.30467186256691436,15.098,-0.03999171094679163
30,0.3881562909451743,0.3881562909451743,17.109,-0.054266907667484786
31,0.47740487087152095,0.47740487087152095,18.939,-0.07162138378228435
32,0.5726765025381207,0.5726765025381207,21.423,-0.2545729805093939
33,0.6887768181944637,0.6887768181944637,24.532,-0.11745339117980735
