,t,T,u
0,0.0,21.969368578037354,5.0
1,1.0,21.674896762468187,5.0
2,2.0,21.516054508584972,5.0
3,3.0,21.811547223037227,5.0
4,4.0,21.617496757845075,5.0
5,5.0,22.178313472130597,5.0
6,6.0,21.825958338885076,5.0
7,7.0,21.92569541321525,5.0
8,8.0,22.104611929914746,5.0
9,9.0,22.810412978664786,5.0
10,10.0,21.985501213167787,5.0
11,11.0,22.951735243137247,5.0
12,12.0,23.05953644665427,5.0
13,13.0,22.560102431679606,5.0
14,14.0,22.864370743671913,5.0
15,15.0,22.657856581174293,5.0
16,16.0,23.14453704672969,5.0
17,17.0,23.32415779714009,5.0
18,18.0,23.116848985400356,5.0
19,19.0,23.04303854555206,5.0
20,20.0,23.14190412795306,5.0
21,21.0,23.17985071851221,5.0
22,22.0,23.293984816810536,5.0
23,23.0,22.790094846867802,5.0
24,24.0,23.140894807752435,5.0
25,25.0,23.718790428688976,5.0
26,26.0,23.87214607121811,5.0
27,27.0,23.571111057288228,5.0
28,28.0,23.64067538633833,5.0
29,29.0,23.79818952039064,5.0
30,30.0,23.23543393795918,5.0
31,31.0,23.90596717944405,5.0
32,32.0,24.028999451526197,5.0
33,33.0,24.198476036012632,5.0
34,34.0,23.660328557803428,5.0
35,35.0,23.54279754175011,5.0
36,36.0,24.262972269034105,5.0
37,37.0,24.06237136540026,5.0
38,38.0,24.287651811830568,5.0
39,39.0,23.70307081906527,5.0
40,40.0,24.421141686172657,5.0
41,41.0,23.666991385580815,5.0
42,42.0,23.76082994327863,5.0
43,43.0,24.39817053882583,5.0
44,44.0,24.61639825015914,5.0
45,45.0,23.72326080200919,5.0
46,46.0,23.75285036526256,5.0
47,47.0,24.002846959494708,5.0
48,48.0,24.66578349918312,5.0
49,49.0,24.023730191192282,5.0
50,50.0,24.491628906482486,5.0
51,51.0,23.9194135142865,5.0
52,52.0,24.12605970812181,5.0
53,53.0,24.16434365109651,5.0
54,54.0,24.97819939173249,5.0
55,55.0,24.62215324747115,5.0
56,56.0,24.173916007612966,5.0
57,57.0,25.043855138276694,5.0
58,58.0,24.12198344378262,5.0
59,59.0,24.58326901995459,5.0
60,60.0,24.93442411906784,5.0
61,61.0,24.305985944538968,5.0
62,62.0,25.17685427123848,5.0
63,63.0,24.600454331885473,5.0
64,64.0,25.000656558163193,5.0
65,65.0,24.439595328631587,5.0
66,66.0,25.212057573077196,5.0
67,67.0,24.644179014580548,5.0
68,68.0,25.28144944986618,5.0
